               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12465,             0.01612,            0.029694,           0.0034123,             0.51136,           0.0052642,           0.0008204,             0.12908,           0.0099883,            0.028806,              0.0982,              0.0002,              0.0002
                   1,             0.12119,            0.016562,            0.029996,           0.0034187,             0.52273,           0.0054807,          0.00090299,             0.12595,             0.01048,             0.02814,            0.095498,          0.00049752,          0.00049752
                   2,             0.11772,            0.019266,            0.028783,            0.003297,             0.51136,           0.0062315,           0.0009683,              0.1176,            0.011522,            0.026831,            0.092792,          0.00079208,          0.00079208
                   3,             0.11263,            0.019294,            0.028651,           0.0035666,             0.55682,           0.0044883,          0.00068241,             0.10355,            0.013002,            0.025235,            0.090084,           0.0010837,           0.0010837
                   4,             0.10503,            0.025444,            0.027928,           0.0033537,             0.53409,           0.0053565,          0.00081266,            0.092858,            0.014138,             0.02417,            0.087372,           0.0013723,           0.0013723
                   5,            0.099019,            0.026146,            0.027309,           0.0034105,             0.54545,           0.0081384,           0.0013017,            0.091098,            0.014526,            0.023643,            0.084658,           0.0016579,           0.0016579
                   6,            0.096422,            0.027429,            0.027103,           0.0037068,             0.59091,            0.056409,            0.006848,            0.090531,            0.014918,            0.023149,            0.081941,           0.0019406,           0.0019406
                   7,            0.094187,            0.025024,            0.026782,           0.0037801,             0.60227,            0.043124,           0.0065244,            0.090008,            0.014937,            0.022676,             0.07922,           0.0022203,           0.0022203
                   8,            0.091649,            0.030935,            0.025772,           0.0037943,             0.60227,            0.070047,            0.012171,            0.089591,            0.014772,            0.022072,            0.076497,            0.002497,            0.002497
                   9,             0.08997,            0.028181,            0.025107,            0.028491,             0.45455,             0.14975,            0.030714,            0.084983,             0.01525,            0.021873,            0.073771,           0.0027708,           0.0027708
                  10,            0.086021,            0.029333,            0.024776,             0.11924,             0.46591,             0.23741,            0.072358,            0.081099,            0.015137,            0.021133,            0.071042,           0.0030416,           0.0030416
                  11,            0.083775,            0.027584,            0.024353,            0.065256,             0.23864,            0.058936,            0.016684,            0.085278,            0.013993,            0.020786,            0.068309,           0.0033094,           0.0033094
                  12,            0.085871,            0.027213,            0.023637,             0.65992,             0.45455,             0.31409,            0.086353,            0.077383,            0.014414,            0.020587,            0.065574,           0.0035743,           0.0035743
                  13,            0.084745,            0.029676,            0.023685,             0.84414,             0.45455,              0.4499,            0.088398,             0.07602,            0.013984,             0.02041,            0.062836,           0.0038362,           0.0038362
                  14,            0.076838,            0.026554,            0.023677,             0.68393,             0.43182,             0.26651,            0.064758,             0.07513,            0.013845,             0.01993,            0.060095,           0.0040951,           0.0040951
                  15,            0.079604,            0.022519,            0.022958,             0.74291,             0.46591,             0.56183,             0.21391,            0.073565,            0.013727,            0.019272,            0.057351,            0.004351,            0.004351
                  16,            0.075777,            0.026855,            0.022912,             0.18789,             0.51136,             0.39435,             0.16284,            0.073363,            0.014212,            0.018472,            0.054604,            0.004604,            0.004604
                  17,            0.083291,            0.021916,            0.022833,             0.18668,             0.54545,             0.36148,             0.14731,            0.074233,            0.014044,            0.018488,            0.051854,            0.004854,            0.004854
                  18,            0.082613,            0.025974,            0.022864,             0.28245,             0.53409,             0.51836,             0.16027,            0.070798,            0.013778,            0.017838,            0.049101,            0.005101,            0.005101
                  19,            0.076839,            0.022964,             0.02278,            0.069452,             0.47727,            0.094419,            0.024081,            0.082201,            0.012771,            0.017393,            0.046345,           0.0053451,           0.0053451
                  20,            0.081809,            0.023944,            0.022763,             0.21706,             0.54545,             0.21507,            0.057422,            0.072388,            0.013848,            0.017196,            0.043586,           0.0055862,           0.0055862
                  21,            0.077826,            0.021987,            0.021829,             0.24382,             0.57955,             0.41839,             0.11755,            0.079552,            0.013085,            0.016687,            0.040824,           0.0058243,           0.0058243
                  22,            0.076557,              0.0228,             0.02161,              0.1305,             0.44318,             0.11596,            0.034051,            0.079453,            0.012878,             0.01645,            0.038059,           0.0060595,           0.0060595
                  23,            0.078399,            0.023546,            0.021731,             0.26731,             0.57955,             0.38793,             0.11816,            0.070692,            0.012966,            0.016302,            0.035292,           0.0062917,           0.0062917
                  24,            0.077836,             0.02164,            0.021863,             0.30773,             0.65909,              0.3406,            0.062237,            0.075226,            0.012582,            0.016157,            0.032521,           0.0065209,           0.0065209
                  25,             0.07436,            0.022717,            0.021753,              0.4759,             0.53409,             0.49521,             0.20694,            0.073772,            0.012114,            0.016119,            0.029747,           0.0067471,           0.0067471
                  26,            0.076216,            0.020536,            0.021225,             0.37499,               0.625,             0.60557,              0.3763,            0.074387,            0.011748,            0.016108,             0.02697,           0.0069704,           0.0069704
                  27,            0.074739,            0.021185,            0.021882,             0.44983,             0.45455,             0.47167,             0.11994,            0.073254,            0.011674,            0.015924,            0.024191,           0.0071907,           0.0071907
                  28,            0.077545,            0.019048,             0.02175,             0.44983,             0.45455,             0.47167,             0.11994,            0.073254,            0.011674,            0.015924,            0.021408,            0.007408,            0.007408
                  29,            0.069419,            0.021786,             0.02112,             0.48459,                 0.5,             0.49959,             0.27124,            0.064816,            0.011862,            0.015802,            0.018622,           0.0076224,           0.0076224
                  30,            0.068539,            0.021147,              0.0206,             0.45364,             0.42045,             0.51089,             0.14174,             0.06609,            0.011168,            0.015721,            0.015834,           0.0078338,           0.0078338
                  31,            0.070867,            0.019645,            0.020854,             0.48789,             0.45803,             0.51373,             0.34906,            0.077315,            0.010046,            0.015468,            0.013042,           0.0080422,           0.0080422
                  32,            0.073528,            0.020549,            0.021623,             0.48789,             0.45803,             0.51373,             0.34906,            0.077315,            0.010046,            0.015468,            0.010248,           0.0082477,           0.0082477
                  33,            0.071732,            0.018333,            0.020828,             0.45413,             0.46591,             0.52152,             0.30424,            0.076746,           0.0095301,            0.015335,           0.0083665,           0.0083665,           0.0083665
                  34,            0.072963,            0.020119,             0.02105,             0.80118,               0.375,             0.45063,             0.17138,             0.07807,           0.0093021,            0.015185,           0.0083665,           0.0083665,           0.0083665
                  35,             0.08015,            0.017963,            0.020471,             0.10558,             0.70455,             0.18812,            0.062552,            0.082854,             0.00916,            0.015158,            0.008317,            0.008317,            0.008317
                  36,            0.084626,            0.015197,            0.019732,             0.10558,             0.70455,             0.18812,            0.062552,            0.082854,             0.00916,            0.015158,           0.0082675,           0.0082675,           0.0082675
                  37,            0.081035,            0.019075,            0.020878,             0.27644,             0.29545,             0.38106,             0.15887,            0.077162,           0.0094614,            0.015117,            0.008218,            0.008218,            0.008218
                  38,            0.079386,            0.017567,            0.020444,             0.14188,             0.51912,             0.17311,            0.079103,            0.080341,           0.0085583,            0.015063,           0.0081685,           0.0081685,           0.0081685
                  39,            0.080832,            0.016845,            0.020486,             0.36055,             0.49047,             0.51865,             0.23085,             0.07437,           0.0098457,            0.015068,            0.008119,            0.008119,            0.008119
                  40,            0.079365,            0.018356,            0.020451,             0.36055,             0.49047,             0.51865,             0.23085,             0.07437,           0.0098457,            0.015068,           0.0080695,           0.0080695,           0.0080695
