               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11298,            0.017277,            0.052591,           0.0020048,             0.48228,           0.0028516,          0.00066546,            0.099276,            0.012232,             0.05365,               0.091,               0.001,               0.001
                   1,             0.09817,            0.022088,            0.048332,           0.0020144,             0.55625,           0.0044365,           0.0010795,            0.089372,             0.01377,            0.049208,            0.081098,           0.0020979,           0.0020979
                   2,            0.091327,              0.0233,            0.043232,             0.47181,             0.18986,             0.11717,            0.022277,            0.080922,            0.014163,            0.041365,            0.071194,           0.0031937,           0.0031937
                   3,              0.0846,            0.022458,            0.038119,             0.87654,             0.19016,             0.18129,             0.05481,             0.07507,            0.014589,            0.033478,            0.061287,           0.0042872,           0.0042872
                   4,            0.079082,            0.021976,            0.032356,             0.91775,             0.17705,             0.18994,            0.061404,             0.07317,            0.014809,            0.028549,            0.051379,           0.0053786,           0.0053786
                   5,             0.07765,            0.021691,            0.029547,             0.84772,             0.19672,             0.07129,            0.022676,            0.077242,            0.014356,            0.024013,            0.041468,           0.0064678,           0.0064678
                   6,            0.075743,            0.021159,            0.024069,              0.5685,             0.29375,             0.27141,            0.092803,            0.072256,            0.013704,            0.017624,            0.031555,           0.0075549,           0.0075549
                   7,            0.074391,             0.01925,             0.02144,             0.99238,                 0.2,             0.26272,             0.11791,            0.078171,            0.011849,            0.013708,             0.02164,           0.0086397,           0.0086397
                   8,            0.074728,            0.018123,            0.016875,             0.97843,                 0.2,             0.32596,             0.12861,            0.072662,            0.011668,            0.010923,            0.011722,           0.0097224,           0.0097224
                   9,             0.07425,            0.018959,            0.014619,             0.79502,             0.31591,             0.43042,             0.10044,            0.065985,             0.01156,            0.009584,           0.0099109,           0.0099109,           0.0099109
                  10,            0.073142,            0.017371,            0.012226,             0.37643,             0.53251,             0.37932,            0.096192,            0.067418,            0.010816,           0.0080737,           0.0099109,           0.0099109,           0.0099109
                  11,            0.071108,             0.01728,             0.01076,             0.60406,             0.53698,             0.49003,             0.15549,            0.065958,            0.010073,           0.0072001,            0.009901,            0.009901,            0.009901
