               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12461,             0.01639,            0.029611,           0.0034941,                 0.5,            0.030039,           0.0050346,             0.13094,           0.0097113,             0.02959,              0.0991,              0.0001,              0.0001
                   1,             0.12547,            0.014379,            0.029127,           0.0034928,                 0.5,            0.031217,           0.0047555,             0.13011,           0.0098915,            0.029449,              0.0973,           0.0002995,           0.0002995
                   2,             0.12001,            0.014907,            0.029096,            0.003488,                 0.5,            0.025686,           0.0044056,             0.12858,            0.010155,            0.028967,            0.095498,          0.00049835,          0.00049835
                   3,             0.12285,            0.018293,               0.029,           0.0032612,               0.475,             0.02266,           0.0029977,              0.1266,            0.010432,             0.02804,            0.093697,          0.00069653,          0.00069653
                   4,             0.11667,            0.016818,             0.02827,           0.0034002,                 0.5,            0.018282,            0.002741,             0.12352,            0.010849,            0.027124,            0.091894,          0.00089406,          0.00089406
                   5,             0.11112,            0.021076,            0.028057,           0.0033212,                 0.5,             0.01152,           0.0020953,             0.11987,            0.011271,            0.026355,            0.090091,           0.0010909,           0.0010909
                   6,             0.11201,            0.026112,            0.028038,           0.0032841,                 0.5,            0.011482,           0.0016929,             0.11553,            0.011765,            0.025708,            0.088287,           0.0012871,           0.0012871
                   7,             0.10254,             0.02321,            0.027445,           0.0028865,                0.45,            0.011412,           0.0014574,             0.11067,            0.012306,             0.02514,            0.086483,           0.0014827,           0.0014827
                   8,             0.10492,            0.025664,            0.026601,             0.00253,                 0.4,           0.0097279,           0.0012881,             0.10756,            0.012674,            0.024725,            0.084678,           0.0016776,           0.0016776
                   9,             0.10445,            0.021049,            0.027439,           0.0025126,                 0.4,             0.00876,           0.0011835,             0.10476,            0.012993,            0.024438,            0.082872,           0.0018718,           0.0018718
