               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12541,            0.015664,            0.029619,           0.0032417,              0.4878,           0.0055244,          0.00091186,             0.12961,           0.0096507,            0.028873,              0.0982,              0.0002,              0.0002
                   1,             0.12036,            0.015714,            0.030576,           0.0031732,              0.4878,           0.0052333,          0.00085889,             0.12662,            0.010114,            0.028049,            0.095495,          0.00049505,          0.00049505
                   2,             0.11833,            0.019313,            0.028991,           0.0031962,                 0.5,           0.0058014,          0.00083866,             0.11796,            0.011223,            0.026666,            0.092784,          0.00078416,          0.00078416
                   3,              0.1109,            0.020064,              0.0288,            0.003469,             0.54878,           0.0053466,          0.00077155,             0.10232,            0.012875,            0.025269,            0.090067,           0.0010673,           0.0010673
                   4,             0.10676,            0.025877,            0.027748,           0.0033615,             0.54878,           0.0078872,           0.0012542,            0.092065,            0.014156,             0.02496,            0.087345,           0.0013446,           0.0013446
                   5,            0.098482,            0.023144,            0.027307,           0.0033269,             0.54878,            0.012824,           0.0021119,            0.090236,            0.014807,            0.024414,            0.084616,           0.0016158,           0.0016158
                   6,            0.097595,            0.027126,            0.027026,           0.0032493,             0.53659,            0.029716,           0.0037283,            0.090056,            0.014849,            0.023007,            0.081881,           0.0018812,           0.0018812
                   7,            0.092683,            0.025532,            0.026479,           0.0037693,             0.60976,            0.037492,            0.004683,            0.089058,             0.01497,            0.022475,            0.079141,           0.0021406,           0.0021406
                   8,            0.090426,            0.029674,            0.025797,            0.003416,             0.56098,            0.042136,           0.0067432,             0.08894,            0.014499,            0.021606,            0.076394,           0.0023941,           0.0023941
                   9,             0.08917,            0.031096,            0.024801,           0.0051141,             0.56098,            0.053671,            0.012202,            0.087933,            0.014761,            0.021605,            0.073642,           0.0026416,           0.0026416
                  10,            0.088291,            0.026487,            0.023951,             0.59213,             0.35366,             0.11303,            0.021811,            0.082832,            0.014398,            0.021448,            0.070883,           0.0028832,           0.0028832
                  11,             0.08412,            0.028359,            0.023455,             0.74732,             0.43902,             0.33764,            0.068592,            0.079623,            0.015311,            0.021089,            0.068119,           0.0031189,           0.0031189
                  12,            0.080604,            0.028986,            0.022882,             0.65548,              0.4878,             0.36659,            0.069857,            0.074175,            0.014965,            0.019441,            0.065349,           0.0033486,           0.0033486
                  13,            0.081997,             0.02532,            0.022672,            0.071409,             0.32927,            0.078859,            0.024182,            0.077092,            0.013993,            0.018816,            0.062572,           0.0035723,           0.0035723
                  14,            0.086328,            0.027568,            0.022799,             0.69582,             0.49461,             0.44988,               0.101,            0.072053,            0.014552,            0.018536,             0.05979,           0.0037902,           0.0037902
                  15,            0.076859,            0.023152,            0.022308,             0.63328,             0.40244,              0.1934,            0.061784,            0.069371,            0.014369,            0.018473,            0.057002,           0.0040021,           0.0040021
                  16,            0.076463,            0.024164,            0.022042,              0.6007,              0.4878,             0.23946,            0.062652,            0.077442,             0.01268,            0.017716,            0.054208,            0.004208,            0.004208
                  17,            0.076646,            0.023723,            0.021752,              0.4472,             0.54696,             0.28039,            0.077045,            0.073514,            0.013178,            0.017526,            0.051408,            0.004408,            0.004408
                  18,            0.081366,            0.024066,            0.022175,             0.68255,              0.4878,             0.40991,            0.099114,            0.074678,              0.0128,            0.017168,            0.048602,           0.0046021,           0.0046021
