               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12016,            0.012931,            0.029997,          0.00091653,               0.325,          0.00076743,          0.00013435,             0.12696,           0.0092878,            0.028928,              0.0982,              0.0002,              0.0002
                   1,             0.11952,            0.012362,            0.030843,          0.00084317,                 0.3,          0.00071872,          0.00013559,             0.12542,           0.0093646,             0.02811,            0.095498,          0.00049752,          0.00049752
                   2,             0.11026,             0.01438,            0.029004,           0.0011152,             0.37143,          0.00090693,          0.00017624,             0.12039,           0.0098476,            0.026703,            0.092792,          0.00079208,          0.00079208
                   3,             0.10559,            0.016262,            0.027974,           0.0015234,                 0.5,           0.0017413,          0.00026343,             0.11231,            0.010464,            0.024625,            0.090084,           0.0010837,           0.0010837
                   4,              0.1012,            0.015622,            0.026287,           0.0015739,             0.53214,           0.0071939,           0.0012041,             0.10203,            0.011389,             0.02261,            0.087372,           0.0013723,           0.0013723
                   5,            0.092028,             0.02127,            0.024722,           0.0016975,             0.58929,            0.020525,           0.0028506,            0.097968,            0.011806,            0.021085,            0.084658,           0.0016579,           0.0016579
                   6,            0.090051,             0.01948,            0.023583,           0.0016818,             0.58929,            0.012209,           0.0019668,            0.091403,            0.012555,            0.019185,            0.081941,           0.0019406,           0.0019406
                   7,            0.086307,            0.020374,            0.021695,            0.002269,             0.73214,            0.019943,           0.0036832,            0.083115,            0.013595,            0.017696,             0.07922,           0.0022203,           0.0022203
                   8,            0.081715,            0.020545,            0.020157,           0.0019735,             0.66071,            0.017257,           0.0035409,            0.074763,            0.014717,            0.015121,            0.076497,            0.002497,            0.002497
                   9,            0.077845,            0.021658,            0.018785,            0.013594,               0.375,            0.019396,           0.0034182,             0.07146,            0.014923,            0.013493,            0.073771,           0.0027708,           0.0027708
                  10,            0.077711,            0.020664,            0.016863,            0.023029,                 0.5,             0.18039,            0.028749,             0.06396,            0.015197,            0.011231,            0.071042,           0.0030416,           0.0030416
                  11,            0.076379,            0.022482,            0.014062,            0.019317,                 0.5,             0.10106,            0.037659,            0.065388,            0.015115,             0.01012,            0.068309,           0.0033094,           0.0033094
                  12,            0.071856,            0.022366,            0.012376,              0.5199,                 0.5,             0.04176,            0.012896,            0.066219,            0.014331,           0.0085762,            0.065574,           0.0035743,           0.0035743
                  13,            0.068944,            0.020967,            0.010322,             0.55126,                 0.5,             0.28757,            0.071176,            0.066728,            0.014213,           0.0082886,            0.062836,           0.0038362,           0.0038362
                  14,            0.069365,            0.021824,            0.009482,             0.87511,                 0.5,             0.49536,             0.13611,            0.066235,            0.013476,           0.0070736,            0.060095,           0.0040951,           0.0040951
                  15,            0.073468,            0.020741,           0.0083335,             0.85444,                 0.5,             0.44301,             0.25605,            0.066357,            0.013834,           0.0061218,            0.057351,            0.004351,            0.004351
