               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12041,             0.02659,            0.038912,          0.00083825,               0.075,          0.00046851,          7.9713e-05,             0.11072,            0.023684,            0.038388,              0.0982,              0.0002,              0.0002
                   1,              0.1189,            0.024647,            0.039337,           0.0011226,             0.11667,          0.00065739,          0.00014739,             0.10643,            0.025204,            0.038049,              0.0955,          0.00049975,          0.00049975
                   2,             0.11514,            0.029787,            0.038736,           0.0018038,                0.15,           0.0010759,           0.0002203,            0.097337,            0.028416,            0.037271,            0.092799,          0.00079921,          0.00079921
                   3,             0.10943,             0.03607,            0.037834,           0.0021717,                0.15,           0.0013977,          0.00037569,             0.08893,            0.031158,            0.036218,            0.090098,           0.0010984,           0.0010984
                   4,             0.10606,             0.04051,            0.037371,            0.004182,             0.28333,            0.003318,          0.00069973,            0.085952,            0.031982,            0.035001,            0.087397,           0.0013972,           0.0013972
                   5,            0.099247,            0.036363,            0.036119,           0.0047035,             0.39167,           0.0042327,          0.00092868,             0.08503,            0.031891,            0.034126,            0.084696,           0.0016958,           0.0016958
                   6,            0.098802,            0.045454,            0.035814,           0.0051717,             0.46667,           0.0062175,           0.0013446,            0.083914,            0.031406,             0.03311,            0.081994,           0.0019941,           0.0019941
                   7,            0.095462,            0.043816,            0.034535,           0.0066742,             0.61667,             0.01267,           0.0029068,            0.081768,            0.031425,            0.032405,            0.079292,            0.002292,            0.002292
                   8,            0.094022,            0.047605,             0.03401,           0.0072161,                 0.7,            0.038249,           0.0084878,            0.080161,            0.030468,            0.030791,             0.07659,           0.0025897,           0.0025897
                   9,             0.09174,            0.048857,            0.033197,           0.0079626,             0.79167,            0.066093,            0.012732,            0.080144,            0.029411,            0.029491,            0.073887,           0.0028871,           0.0028871
                  10,            0.090131,            0.045621,            0.031808,           0.0089651,                 0.9,             0.26819,            0.085611,             0.07641,            0.028563,            0.027686,            0.071184,           0.0031842,           0.0031842
                  11,             0.08329,            0.045579,            0.030701,             0.51122,             0.26227,             0.25462,             0.06544,             0.07538,            0.027405,            0.026511,            0.068481,           0.0034809,           0.0034809
                  12,            0.080111,            0.047253,            0.028617,             0.20416,             0.41667,             0.29208,            0.062304,            0.073098,            0.025532,            0.024989,            0.065777,           0.0037774,           0.0037774
                  13,             0.08145,            0.040521,             0.02742,            0.055289,                0.45,             0.07103,            0.018063,            0.079534,            0.024458,            0.024429,            0.063074,           0.0040736,           0.0040736
                  14,            0.082048,            0.043297,            0.027536,              0.3572,               0.475,             0.36105,            0.074809,            0.074216,            0.023405,            0.022282,             0.06037,           0.0043695,           0.0043695
                  15,            0.083021,            0.041249,             0.02555,              0.1409,                0.65,             0.18042,            0.055774,            0.070091,            0.023903,            0.020895,            0.057665,           0.0046651,           0.0046651
                  16,            0.074624,            0.038214,            0.024534,             0.33321,              0.6962,             0.47662,             0.12987,            0.074469,            0.025164,             0.01946,             0.05496,           0.0049604,           0.0049604
                  17,             0.07495,            0.033961,            0.023455,             0.62649,             0.58333,              0.4132,             0.14585,            0.071616,            0.027235,            0.018702,            0.052255,           0.0052554,           0.0052554
                  18,            0.076257,            0.036965,            0.023004,             0.09945,             0.82515,             0.11263,            0.030296,            0.080554,            0.028671,            0.017788,             0.04955,           0.0055501,           0.0055501
                  19,            0.080505,            0.028888,            0.022114,             0.69831,             0.66667,             0.44819,             0.10988,            0.077883,            0.028196,            0.017083,            0.046845,           0.0058445,           0.0058445
                  20,            0.077627,            0.036224,            0.021964,             0.66518,             0.53333,             0.43035,             0.13472,            0.078173,            0.027533,            0.016102,            0.044139,           0.0061386,           0.0061386
                  21,            0.080367,            0.030731,            0.020844,             0.11659,               0.775,             0.17785,             0.04043,            0.079928,            0.024597,            0.015407,            0.041432,           0.0064324,           0.0064324
                  22,            0.077479,            0.032577,            0.019692,             0.59871,             0.63924,             0.30348,             0.11737,            0.075433,            0.021322,            0.014536,            0.038726,           0.0067259,           0.0067259
                  23,            0.072425,            0.030293,            0.019377,             0.76949,             0.58933,             0.62297,             0.24665,             0.07469,            0.019634,            0.013747,            0.036019,           0.0070192,           0.0070192
                  24,            0.076329,            0.029954,            0.018401,             0.52143,             0.53579,             0.21355,            0.077825,            0.074477,            0.018665,            0.013564,            0.033312,           0.0073121,           0.0073121
                  25,            0.074839,            0.032696,            0.017606,             0.53351,             0.34186,             0.30593,             0.12357,            0.079359,             0.01749,            0.012983,            0.030605,           0.0076047,           0.0076047
                  26,            0.081431,            0.029342,             0.01699,              0.4826,             0.56667,             0.21335,             0.06814,            0.077388,             0.01667,             0.01267,            0.027897,            0.007897,            0.007897
                  27,            0.076895,            0.028745,            0.016329,             0.68461,               0.575,             0.55352,               0.189,            0.069497,            0.016721,            0.011815,            0.025189,           0.0081891,           0.0081891
                  28,            0.079295,            0.028843,            0.016499,             0.68461,               0.575,             0.55352,               0.189,            0.069497,            0.016721,            0.011815,            0.022481,           0.0084808,           0.0084808
                  29,            0.069484,            0.031559,            0.016087,             0.72373,             0.63651,             0.56741,              0.1836,            0.063298,            0.016353,             0.01153,            0.019772,           0.0087722,           0.0087722
                  30,            0.070001,            0.027292,            0.015365,             0.50023,             0.40833,             0.27804,            0.069015,            0.080699,            0.016156,            0.010806,            0.017063,           0.0090634,           0.0090634
                  31,            0.080622,            0.027158,            0.015548,             0.73023,             0.58333,             0.50142,             0.19092,            0.073972,            0.015596,            0.010506,            0.014354,           0.0093542,           0.0093542
                  32,            0.080408,            0.026957,             0.01575,             0.73023,             0.58333,             0.50142,             0.19092,            0.073972,            0.015596,            0.010506,            0.011645,           0.0096448,           0.0096448
                  33,            0.071412,            0.025739,            0.014827,             0.67758,                0.55,             0.55954,             0.17006,            0.069861,            0.015509,            0.010204,           0.0098367,           0.0098367,           0.0098367
                  34,            0.078965,            0.026503,             0.01401,             0.13608,             0.69167,             0.22433,            0.078792,            0.082181,            0.016857,           0.0098534,           0.0098367,           0.0098367,           0.0098367
                  35,            0.087286,            0.023722,            0.014476,             0.12993,             0.66667,             0.22019,            0.081407,            0.083361,            0.016326,           0.0098871,           0.0098317,           0.0098317,           0.0098317
                  36,            0.088777,            0.024839,            0.013883,             0.12993,             0.66667,             0.22019,            0.081407,            0.083361,            0.016326,           0.0098871,           0.0098268,           0.0098268,           0.0098268
                  37,            0.077916,            0.025247,            0.013709,              0.3207,             0.65833,             0.40972,             0.16012,            0.072243,            0.016509,           0.0097761,           0.0098218,           0.0098218,           0.0098218
                  38,            0.072572,            0.024452,            0.014433,             0.24058,             0.71496,             0.49954,             0.15845,              0.0737,            0.015617,           0.0096926,           0.0098169,           0.0098169,           0.0098169
                  39,            0.077593,            0.026737,            0.014279,             0.20385,             0.80771,             0.46259,             0.15538,            0.075613,            0.015041,           0.0096548,           0.0098119,           0.0098119,           0.0098119
                  40,            0.081462,            0.025924,            0.014522,             0.20385,             0.80771,             0.46259,             0.15538,            0.075613,            0.015041,           0.0096548,            0.009807,            0.009807,            0.009807
                  41,            0.076258,            0.025152,            0.013415,             0.24222,               0.825,             0.51419,             0.16531,            0.074615,            0.014506,           0.0094179,            0.009802,            0.009802,            0.009802
                  42,            0.073625,            0.025204,            0.014071,             0.44017,               0.725,             0.54692,             0.16027,            0.068839,            0.014108,           0.0092517,            0.009797,            0.009797,            0.009797
                  43,            0.070898,            0.027025,             0.01491,             0.25358,                 0.6,             0.31924,             0.12841,            0.069868,            0.014082,            0.008968,           0.0097921,           0.0097921,           0.0097921
                  44,            0.076362,            0.022483,            0.013849,             0.25358,                 0.6,             0.31924,             0.12841,            0.069868,            0.014082,            0.008968,           0.0097871,           0.0097871,           0.0097871
                  45,             0.07753,            0.026606,            0.013519,             0.34017,              0.6219,             0.40028,             0.16171,            0.067801,            0.014146,            0.008882,           0.0097822,           0.0097822,           0.0097822
                  46,            0.076278,            0.025361,            0.013846,             0.53862,             0.78941,              0.7274,              0.2148,             0.06571,             0.01407,           0.0089242,           0.0097773,           0.0097773,           0.0097773
                  47,            0.067685,            0.024395,            0.013659,             0.55382,             0.81667,             0.72269,             0.30919,             0.07193,            0.014426,           0.0087131,           0.0097723,           0.0097723,           0.0097723
                  48,            0.078513,            0.024702,             0.01375,             0.55382,             0.81667,             0.72269,             0.30919,             0.07193,            0.014426,           0.0087131,           0.0097674,           0.0097674,           0.0097674
                  49,            0.070119,            0.023647,            0.012978,             0.69619,             0.79562,              0.7639,             0.35804,            0.065675,            0.013882,           0.0087238,           0.0097624,           0.0097624,           0.0097624
                  50,            0.066714,             0.02648,            0.013709,             0.45824,             0.76363,             0.60731,              0.2958,            0.064462,            0.014462,           0.0089155,           0.0097575,           0.0097575,           0.0097575
                  51,             0.06408,            0.025233,            0.012464,             0.78291,             0.66585,             0.81065,             0.37082,            0.062713,            0.014258,           0.0088104,           0.0097525,           0.0097525,           0.0097525
                  52,            0.069493,            0.026514,            0.014398,             0.78291,             0.66585,             0.81065,             0.37082,            0.062713,            0.014258,           0.0088104,           0.0097476,           0.0097476,           0.0097476
                  53,            0.065902,            0.027495,            0.014139,             0.83053,             0.77575,             0.88701,             0.45387,            0.057772,            0.013752,            0.008816,           0.0097426,           0.0097426,           0.0097426
                  54,            0.067628,            0.022142,            0.012681,             0.19165,             0.84167,              0.3927,             0.13981,            0.076612,            0.013994,           0.0088816,           0.0097377,           0.0097377,           0.0097377
                  55,            0.077587,            0.024128,             0.01327,             0.61629,             0.76618,             0.71222,             0.20442,            0.057779,            0.013921,           0.0087556,           0.0097327,           0.0097327,           0.0097327
                  56,            0.061685,            0.025461,            0.012903,             0.61629,             0.76618,             0.71222,             0.20442,            0.057779,            0.013921,           0.0087556,           0.0097278,           0.0097278,           0.0097278
                  57,            0.058749,            0.026945,            0.013194,             0.63664,             0.79167,             0.78461,              0.3097,            0.052438,            0.014118,           0.0087456,           0.0097228,           0.0097228,           0.0097228
                  58,            0.056742,             0.02553,            0.013259,             0.77059,             0.86015,             0.86089,             0.30146,            0.052934,            0.013833,           0.0082837,           0.0097179,           0.0097179,           0.0097179
                  59,            0.055744,            0.025091,            0.012237,              0.5515,             0.80833,             0.69429,             0.27574,            0.060167,            0.014101,           0.0082769,           0.0097129,           0.0097129,           0.0097129
                  60,            0.068197,            0.023019,            0.012562,              0.5515,             0.80833,             0.69429,             0.27574,            0.060167,            0.014101,           0.0082769,            0.009708,            0.009708,            0.009708
                  61,            0.058865,            0.022118,            0.011622,             0.67927,             0.86667,             0.80107,             0.37809,            0.049589,            0.013503,           0.0081595,            0.009703,            0.009703,            0.009703
                  62,              0.0571,            0.026246,            0.011495,             0.55279,             0.71667,             0.75828,             0.28369,            0.057405,             0.01371,           0.0080143,            0.009698,            0.009698,            0.009698
                  63,             0.06226,            0.022846,            0.011534,             0.41421,                0.95,             0.65395,             0.25388,            0.062686,            0.014699,           0.0091733,           0.0096931,           0.0096931,           0.0096931
                  64,            0.069271,            0.024052,            0.012053,             0.41421,                0.95,             0.65395,             0.25388,            0.062686,            0.014699,           0.0091733,           0.0096881,           0.0096881,           0.0096881
                  65,            0.063478,            0.023178,              0.0117,             0.55675,             0.81667,             0.69937,              0.3401,            0.056864,            0.014409,           0.0090998,           0.0096832,           0.0096832,           0.0096832
                  66,            0.058973,            0.022283,            0.011376,             0.75172,             0.78706,             0.91044,             0.38225,            0.049804,            0.013093,           0.0083284,           0.0096783,           0.0096783,           0.0096783
                  67,            0.055803,            0.021438,            0.011063,             0.38793,             0.80833,              0.6793,             0.26316,            0.056561,            0.013368,            0.007933,           0.0096733,           0.0096733,           0.0096733
                  68,            0.064862,            0.021505,            0.011111,             0.38793,             0.80833,              0.6793,             0.26316,            0.056561,            0.013368,            0.007933,           0.0096684,           0.0096684,           0.0096684
                  69,            0.056502,            0.024461,            0.011803,             0.62731,             0.86384,             0.83373,             0.36649,            0.048641,            0.012782,           0.0079522,           0.0096634,           0.0096634,           0.0096634
                  70,            0.054384,            0.019693,            0.010462,             0.58785,             0.92189,             0.85139,             0.28032,            0.057655,            0.013563,           0.0081948,           0.0096585,           0.0096585,           0.0096585
                  71,            0.060777,             0.02315,            0.012008,              0.8729,             0.81145,              0.9374,             0.52292,            0.047788,            0.013028,           0.0080433,           0.0096535,           0.0096535,           0.0096535
                  72,            0.059609,            0.024777,            0.012571,              0.8729,             0.81145,              0.9374,             0.52292,            0.047788,            0.013028,           0.0080433,           0.0096486,           0.0096486,           0.0096486
                  73,             0.05218,             0.02452,            0.011528,             0.76275,             0.84741,             0.89447,             0.44255,            0.046267,            0.012799,           0.0080229,           0.0096436,           0.0096436,           0.0096436
                  74,            0.049763,            0.021253,             0.01281,             0.78786,               0.936,             0.88264,             0.43776,            0.045984,            0.012532,           0.0079895,           0.0096387,           0.0096387,           0.0096387
                  75,            0.051003,            0.022866,            0.012718,             0.57382,                 0.6,              0.7477,             0.35779,             0.05975,            0.012936,           0.0079765,           0.0096337,           0.0096337,           0.0096337
                  76,            0.064586,            0.022879,            0.011961,             0.57382,                 0.6,              0.7477,             0.35779,             0.05975,            0.012936,           0.0079765,           0.0096288,           0.0096288,           0.0096288
                  77,            0.058153,            0.020011,            0.010971,             0.80715,             0.90555,             0.98552,             0.50765,            0.048388,            0.012065,           0.0080551,           0.0096238,           0.0096238,           0.0096238
                  78,             0.05324,            0.020274,            0.010474,              0.8499,               0.925,             0.98169,             0.49096,             0.04493,            0.012316,           0.0078765,           0.0096188,           0.0096188,           0.0096188
                  79,            0.051634,            0.022362,              0.0113,             0.50928,               0.925,             0.63759,             0.23696,            0.057483,            0.013638,           0.0075757,           0.0096139,           0.0096139,           0.0096139
                  80,            0.062705,            0.019329,            0.010296,             0.50928,               0.925,             0.63759,             0.23696,            0.057483,            0.013638,           0.0075757,            0.009609,            0.009609,            0.009609
                  81,            0.053795,            0.023185,            0.011393,              0.7647,               0.925,             0.88591,             0.46134,            0.043452,            0.011993,           0.0074809,            0.009604,            0.009604,            0.009604
                  82,            0.048406,            0.021493,            0.011097,             0.58693,             0.91836,             0.74298,             0.36708,             0.04593,            0.012258,           0.0073437,            0.009599,            0.009599,            0.009599
                  83,            0.053376,            0.023204,            0.011069,               0.641,             0.87397,             0.85184,             0.48305,            0.049715,            0.012184,           0.0073191,           0.0095941,           0.0095941,           0.0095941
                  84,            0.057326,            0.020492,           0.0097728,               0.641,             0.87397,             0.85184,             0.48305,            0.049715,            0.012184,           0.0073191,           0.0095892,           0.0095892,           0.0095892
                  85,            0.054965,            0.024998,            0.011852,             0.67958,             0.87019,             0.84524,              0.4762,            0.044995,            0.011765,           0.0072872,           0.0095842,           0.0095842,           0.0095842
                  86,            0.051653,            0.022287,            0.010699,             0.71975,             0.90833,             0.87529,             0.48856,            0.048851,            0.012096,           0.0071923,           0.0095793,           0.0095793,           0.0095793
                  87,            0.054782,            0.023004,            0.010861,             0.51489,             0.89652,             0.67274,             0.27081,            0.055287,            0.012773,           0.0073856,           0.0095743,           0.0095743,           0.0095743
                  88,              0.0633,            0.020582,            0.011683,             0.51489,             0.89652,             0.67274,             0.27081,            0.055287,            0.012773,           0.0073856,           0.0095694,           0.0095694,           0.0095694
                  89,            0.054565,            0.022583,            0.011146,             0.75538,             0.91695,             0.92704,             0.44685,             0.04654,            0.012424,           0.0075173,           0.0095644,           0.0095644,           0.0095644
                  90,            0.052132,            0.021069,            0.010746,             0.55646,             0.89167,             0.66411,             0.26468,            0.054804,            0.012619,           0.0072651,           0.0095595,           0.0095595,           0.0095595
                  91,            0.060856,            0.021096,            0.010781,             0.60268,             0.89751,             0.80376,             0.44075,            0.042704,            0.012016,           0.0075053,           0.0095545,           0.0095545,           0.0095545
                  92,            0.052742,            0.019526,           0.0099906,             0.60268,             0.89751,             0.80376,             0.44075,            0.042704,            0.012016,           0.0075053,           0.0095496,           0.0095496,           0.0095496
