               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12177,            0.011998,            0.030083,          0.00065491,             0.28261,          0.00052087,          7.1499e-05,             0.12903,           0.0085735,            0.029291,              0.0964,              0.0004,              0.0004
                   1,             0.11734,            0.013016,            0.028561,          0.00064913,             0.27151,          0.00078664,          0.00011462,              0.1228,           0.0090628,            0.028015,            0.091896,          0.00089554,          0.00089554
                   2,              0.1088,            0.015708,             0.02793,          0.00059025,             0.23867,            0.000683,          8.8018e-05,             0.11016,           0.0098362,            0.026331,            0.087386,           0.0013861,           0.0013861
                   3,            0.099873,              0.0171,             0.02626,           0.0011277,              0.4445,           0.0064554,          0.00073632,            0.099624,            0.010803,            0.024582,            0.082872,           0.0018718,           0.0018718
                   4,            0.094636,            0.019303,            0.025538,           0.0014222,             0.55273,            0.002494,          0.00054804,            0.091212,            0.011742,            0.022135,            0.078352,           0.0023525,           0.0023525
                   5,            0.091717,            0.019755,            0.024064,           0.0020632,             0.69103,            0.012073,            0.002594,            0.082195,            0.012733,            0.020835,            0.073828,           0.0028282,           0.0028282
                   6,            0.083442,            0.020204,             0.02249,           0.0022057,             0.72294,              0.1244,            0.015019,            0.075305,            0.013225,             0.01891,            0.069299,            0.003299,            0.003299
                   7,            0.083697,            0.019489,            0.020894,            0.002206,             0.72294,             0.12811,             0.03883,            0.073989,            0.013187,            0.017817,            0.064765,           0.0037649,           0.0037649
                   8,            0.079065,            0.022222,            0.018853,           0.0030023,             0.90379,            0.098226,            0.019626,            0.069469,            0.013198,            0.015754,            0.060226,           0.0042258,           0.0042258
                   9,            0.077494,            0.019832,            0.016982,            0.026669,             0.47826,             0.20543,            0.092595,            0.072301,            0.012814,            0.013059,            0.055682,           0.0046817,           0.0046817
                  10,            0.074964,            0.019255,            0.016152,            0.015409,             0.47826,             0.11584,            0.033329,            0.067053,            0.012907,           0.0099719,            0.051133,           0.0051327,           0.0051327
                  11,            0.079039,            0.019553,            0.014479,             0.57105,             0.43478,              0.4973,             0.24561,            0.065452,            0.012471,           0.0086914,            0.046579,           0.0055787,           0.0055787
                  12,            0.076201,            0.021949,            0.014179,             0.56231,             0.45652,             0.46312,             0.18246,            0.061081,            0.012613,           0.0079384,             0.04202,           0.0060198,           0.0060198
                  13,            0.072292,            0.021181,            0.012225,               0.219,             0.73265,             0.31223,            0.080088,            0.068522,            0.011685,           0.0064822,            0.037456,            0.006456,            0.006456
                  14,            0.075372,            0.018521,            0.010276,             0.99693,             0.43478,             0.46763,             0.22645,            0.071453,            0.010838,           0.0055096,            0.032887,           0.0068872,           0.0068872
                  15,            0.073373,            0.018243,            0.010197,             0.56584,             0.43478,             0.40178,             0.11546,            0.067673,            0.011422,           0.0054721,            0.028313,           0.0073134,           0.0073134
                  16,            0.069221,            0.017192,            0.010821,             0.58522,             0.43478,             0.18583,             0.05486,            0.074539,             0.01121,           0.0053549,            0.023735,           0.0077347,           0.0077347
                  17,            0.071623,             0.01693,           0.0092272,             0.83308,             0.36957,              0.5304,              0.1694,             0.07275,            0.010809,           0.0057291,            0.019151,           0.0081511,           0.0081511
                  18,             0.07264,            0.016401,           0.0081627,             0.69504,             0.30435,             0.32646,            0.092163,             0.07706,            0.010224,           0.0060293,            0.014562,           0.0085625,           0.0085625
                  19,            0.070006,            0.019465,           0.0081321,             0.58324,             0.88976,             0.61854,             0.30011,            0.068485,           0.0098397,           0.0056296,           0.0099689,           0.0089689,           0.0089689
                  20,            0.073139,            0.016734,           0.0077315,             0.17672,             0.41304,             0.28147,             0.13379,            0.061311,            0.010562,           0.0056833,             0.00901,             0.00901,             0.00901
                  21,            0.069143,            0.017122,           0.0081071,             0.32482,             0.63691,             0.29349,             0.10618,            0.075667,           0.0093466,            0.006177,             0.00901,             0.00901,             0.00901
                  22,            0.065835,            0.016114,           0.0073092,             0.29369,             0.53454,             0.63071,             0.33254,            0.071591,            0.010036,           0.0062472,           0.0089605,           0.0089605,           0.0089605
                  23,            0.063464,            0.017331,           0.0084192,             0.49505,             0.82739,             0.72212,             0.21457,             0.06814,            0.010267,           0.0065626,            0.008911,            0.008911,            0.008911
                  24,            0.071614,            0.016358,           0.0094537,             0.48463,             0.64005,             0.81424,             0.32502,            0.067299,            0.010037,           0.0063145,           0.0088615,           0.0088615,           0.0088615
                  25,             0.06476,            0.015538,           0.0067155,             0.77798,             0.82412,             0.85222,             0.36126,            0.064866,           0.0095609,           0.0056707,            0.008812,            0.008812,            0.008812
                  26,            0.062261,             0.01908,           0.0098222,              0.7419,              0.6901,             0.79967,             0.31836,             0.05177,           0.0099665,           0.0051231,           0.0087625,           0.0087625,           0.0087625
                  27,            0.054613,            0.017892,           0.0065586,             0.96765,             0.87013,               0.928,             0.37291,            0.062329,           0.0086695,           0.0046777,            0.008713,            0.008713,            0.008713
                  28,            0.060315,            0.017116,           0.0074878,             0.54917,             0.49491,             0.54529,             0.17219,            0.058041,           0.0086514,           0.0046375,           0.0086635,           0.0086635,           0.0086635
                  29,            0.059012,            0.016399,           0.0081912,             0.70194,             0.73173,             0.78968,             0.31498,             0.05652,           0.0086147,           0.0047836,            0.008614,            0.008614,            0.008614
                  30,            0.057472,            0.017485,           0.0068282,             0.59472,             0.75411,             0.61836,             0.18313,            0.056139,           0.0086724,           0.0046356,           0.0085645,           0.0085645,           0.0085645
                  31,            0.052463,            0.018177,           0.0062023,             0.63913,             0.91351,             0.73858,             0.28703,            0.050813,           0.0083733,           0.0047315,            0.008515,            0.008515,            0.008515
                  32,            0.058597,            0.014361,           0.0056979,             0.74462,             0.73265,             0.74125,              0.4023,            0.047526,           0.0084365,           0.0045982,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054291,            0.016414,           0.0064265,             0.61766,             0.91351,              0.6521,             0.29286,            0.056948,           0.0084902,           0.0048913,            0.008416,            0.008416,            0.008416
                  34,            0.052001,             0.01572,           0.0068903,             0.78867,             0.75393,             0.82182,             0.37141,            0.051092,           0.0081701,           0.0047009,           0.0083665,           0.0083665,           0.0083665
                  35,            0.050183,            0.016252,           0.0081264,             0.88045,             0.66883,             0.83293,             0.34079,            0.056462,           0.0083378,           0.0043616,            0.008317,            0.008317,            0.008317
                  36,            0.054121,            0.013798,           0.0042573,              0.9345,              0.6441,               0.901,             0.29108,             0.05877,           0.0079954,            0.004362,           0.0082675,           0.0082675,           0.0082675
                  37,            0.054376,            0.014193,           0.0034136,              0.9751,             0.64515,             0.81521,             0.41773,              0.0487,           0.0079788,           0.0041367,            0.008218,            0.008218,            0.008218
                  38,            0.047552,            0.014367,            0.006446,             0.70557,              0.8224,             0.92083,             0.42447,            0.046403,           0.0079467,           0.0041684,           0.0081685,           0.0081685,           0.0081685
                  39,             0.04426,            0.014297,           0.0053532,             0.74499,             0.74329,             0.86492,              0.2905,             0.05127,           0.0079459,           0.0040906,            0.008119,            0.008119,            0.008119
                  40,            0.051796,            0.012115,           0.0060822,             0.50455,             0.93478,              0.8138,             0.40822,            0.046018,           0.0079897,           0.0040818,           0.0080695,           0.0080695,           0.0080695
                  41,            0.048626,             0.01419,           0.0066271,             0.80152,             0.93478,             0.88787,             0.54883,            0.036083,           0.0081553,           0.0041003,             0.00802,             0.00802,             0.00802
                  42,            0.052239,            0.015719,           0.0062144,             0.63376,              0.8913,             0.71264,             0.41949,            0.039614,           0.0080212,           0.0041103,           0.0079705,           0.0079705,           0.0079705
                  43,            0.047474,            0.014091,           0.0058368,             0.63172,             0.93478,             0.86105,             0.44043,            0.041923,           0.0079506,           0.0039399,            0.007921,            0.007921,            0.007921
                  44,            0.049942,            0.012972,           0.0071324,             0.57446,             0.91304,              0.8989,             0.41808,            0.039838,           0.0080509,           0.0039795,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05068,            0.012067,           0.0043689,             0.61848,             0.93478,             0.83336,             0.36308,            0.046616,           0.0079546,           0.0039315,            0.007822,            0.007822,            0.007822
                  46,            0.045603,            0.010864,           0.0050966,               0.685,             0.93478,             0.92287,             0.62711,            0.037309,           0.0076418,           0.0039762,           0.0077725,           0.0077725,           0.0077725
                  47,            0.043577,            0.011119,           0.0039236,             0.61217,             0.92414,             0.72125,             0.38787,            0.058412,           0.0076688,           0.0038672,            0.007723,            0.007723,            0.007723
                  48,            0.051857,            0.013261,           0.0053495,             0.89679,             0.93478,             0.91763,             0.36747,            0.039312,           0.0072346,           0.0039151,           0.0076735,           0.0076735,           0.0076735
                  49,            0.047172,            0.012064,           0.0045884,             0.92056,             0.93478,             0.93884,             0.50979,            0.042859,           0.0070416,           0.0040353,            0.007624,            0.007624,            0.007624
                  50,            0.044165,            0.013537,           0.0060656,              0.8753,             0.93478,              0.9411,             0.54397,            0.031646,           0.0069176,           0.0040691,           0.0075745,           0.0075745,           0.0075745
                  51,            0.041905,            0.012162,            0.005806,             0.86893,             0.82912,             0.85122,              0.3712,            0.053991,            0.006605,           0.0041835,            0.007525,            0.007525,            0.007525
                  52,             0.04899,            0.012129,           0.0054362,             0.98313,             0.93478,             0.94023,             0.44769,            0.031594,           0.0064801,           0.0042469,           0.0074755,           0.0074755,           0.0074755
                  53,            0.043602,            0.012079,           0.0042843,             0.70443,             0.92811,             0.89836,             0.37569,            0.047512,            0.006146,           0.0041283,            0.007426,            0.007426,            0.007426
                  54,            0.044242,            0.013194,           0.0069187,             0.92213,             0.93478,               0.939,             0.46396,            0.036278,           0.0061841,            0.004038,           0.0073765,           0.0073765,           0.0073765
