               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12461,             0.01639,            0.029611,           0.0034941,                 0.5,            0.030039,           0.0050346,             0.13094,           0.0097113,             0.02959,              0.0991,              0.0001,              0.0001
                   1,             0.12547,            0.014379,            0.029127,           0.0034965,                 0.5,            0.031076,           0.0047337,             0.13012,           0.0098906,            0.029449,            0.097299,          0.00029851,          0.00029851
                   2,             0.12001,            0.014908,            0.029095,           0.0034892,                 0.5,            0.025816,           0.0044227,             0.12858,            0.010152,            0.028961,            0.095495,          0.00049505,          0.00049505
                   3,             0.12285,            0.018291,            0.029001,           0.0032601,               0.475,             0.02277,            0.003184,             0.12661,            0.010432,            0.028033,             0.09369,           0.0006896,           0.0006896
                   4,             0.11667,            0.016812,            0.028269,           0.0032258,               0.475,            0.017962,           0.0026804,             0.12355,            0.010843,             0.02713,            0.091882,          0.00088218,          0.00088218
                   5,             0.11123,            0.021044,            0.028064,           0.0033201,                 0.5,            0.011377,           0.0020792,             0.11994,            0.011267,            0.026355,            0.090073,           0.0010728,           0.0010728
                   6,             0.11213,            0.026061,            0.028045,           0.0032906,                 0.5,            0.011308,           0.0016673,             0.11563,            0.011761,            0.025726,            0.088261,           0.0012614,           0.0012614
                   7,             0.10264,             0.02318,            0.027466,           0.0028865,                0.45,            0.011461,           0.0014553,             0.11087,            0.012304,            0.025165,            0.086448,            0.001448,            0.001448
                   8,             0.10512,            0.025592,            0.026624,           0.0025253,                 0.4,           0.0097296,           0.0012886,             0.10785,             0.01265,            0.024744,            0.084633,           0.0016327,           0.0016327
                   9,             0.10459,            0.021004,            0.027463,           0.0025141,                 0.4,            0.010397,           0.0014395,             0.10513,             0.01296,            0.024457,            0.082815,           0.0018154,           0.0018154
                  10,            0.098326,            0.029872,            0.026053,           0.0031421,                 0.5,            0.010299,           0.0014172,             0.10227,            0.013275,            0.024048,            0.080996,            0.001996,            0.001996
                  11,            0.098593,            0.024306,            0.026399,           0.0029661,               0.475,           0.0077853,           0.0013485,            0.099508,            0.013632,            0.023615,            0.079175,           0.0021748,           0.0021748
