               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10762,            0.012336,            0.050566,          0.00092486,             0.47112,            0.001317,          0.00032121,             0.08891,           0.0090677,            0.047778,              0.0811,              0.0021,              0.0021
                   1,            0.089223,            0.013953,            0.041879,             0.62364,             0.14754,            0.080065,            0.011582,            0.076956,            0.009295,             0.03957,            0.061298,           0.0042979,           0.0042979
                   2,            0.079203,            0.013978,            0.033921,              0.9251,             0.18689,             0.20849,             0.10028,            0.070456,           0.0091912,            0.028106,            0.041494,           0.0064936,           0.0064936
                   3,            0.075403,            0.013495,            0.026154,              0.9038,             0.17049,             0.18549,             0.10292,            0.065243,           0.0084915,            0.016223,            0.021687,           0.0086871,           0.0086871
                   4,            0.073486,            0.012183,             0.01901,             0.97456,             0.17994,             0.25369,            0.071619,            0.071544,           0.0077388,            0.011897,           0.0099802,           0.0099802,           0.0099802
                   5,            0.072843,            0.012578,            0.013925,             0.95008,                 0.2,             0.24496,             0.11044,            0.066682,           0.0073636,            0.009846,           0.0099802,           0.0099802,           0.0099802
                   6,            0.065767,            0.013014,            0.012328,             0.97676,             0.19951,             0.35498,             0.15385,             0.05665,           0.0077193,           0.0065648,           0.0099753,           0.0099753,           0.0099753
                   7,            0.062836,            0.011859,           0.0096124,             0.56955,             0.46121,             0.39902,             0.17602,            0.054969,           0.0076859,           0.0047906,           0.0099703,           0.0099703,           0.0099703
                   8,            0.059004,            0.012138,           0.0086931,             0.29305,             0.56028,             0.41722,             0.12577,            0.062926,           0.0069348,           0.0057123,           0.0099654,           0.0099654,           0.0099654
                   9,            0.056696,            0.010526,           0.0074013,             0.29275,             0.66724,             0.38165,             0.18087,            0.053233,            0.006873,           0.0047548,           0.0099604,           0.0099604,           0.0099604
                  10,            0.055652,            0.010666,           0.0065712,             0.47043,             0.49073,              0.4006,             0.13238,            0.056455,           0.0073788,             0.01206,           0.0099555,           0.0099555,           0.0099555
                  11,             0.05194,            0.011241,            0.006256,             0.26104,             0.57612,             0.40925,             0.14711,             0.05225,              0.0072,           0.0046282,           0.0099505,           0.0099505,           0.0099505
                  12,            0.051352,           0.0096142,           0.0065552,             0.30551,             0.63229,             0.37049,             0.16778,            0.053627,           0.0065534,            0.011441,           0.0099456,           0.0099456,           0.0099456
                  13,            0.046886,           0.0098494,           0.0051096,             0.53881,             0.62863,             0.51947,             0.21368,            0.051178,            0.006043,           0.0035752,           0.0099406,           0.0099406,           0.0099406
                  14,            0.051711,           0.0098287,           0.0050148,             0.49464,             0.91834,             0.56973,             0.27579,            0.042547,           0.0062417,           0.0035724,           0.0099357,           0.0099357,           0.0099357
                  15,             0.04798,           0.0095118,           0.0046126,             0.39903,             0.77647,             0.52555,             0.25193,            0.047681,           0.0062975,           0.0036055,           0.0099307,           0.0099307,           0.0099307
                  16,            0.047616,           0.0089892,           0.0053985,             0.44146,             0.90173,             0.58597,             0.31075,            0.038374,           0.0058402,           0.0028293,           0.0099258,           0.0099258,           0.0099258
                  17,            0.044415,           0.0092293,            0.004843,             0.41069,             0.89157,              0.4978,             0.18623,            0.046412,           0.0052022,           0.0023195,           0.0099208,           0.0099208,           0.0099208
                  18,             0.04515,           0.0085155,           0.0049751,             0.45864,             0.68312,             0.56131,             0.24385,            0.046858,           0.0060758,           0.0037623,           0.0099159,           0.0099159,           0.0099159
                  19,            0.044706,           0.0091562,           0.0040824,              0.3927,             0.67347,             0.53364,             0.31031,            0.044158,           0.0063558,           0.0048528,           0.0099109,           0.0099109,           0.0099109
                  20,            0.043836,           0.0088272,           0.0040111,             0.46775,             0.93514,              0.6398,             0.30633,            0.038427,           0.0053381,           0.0026919,            0.009906,            0.009906,            0.009906
                  21,            0.044264,           0.0087047,           0.0038033,             0.46584,             0.86488,             0.59291,             0.29857,            0.040587,           0.0053989,           0.0025476,            0.009901,            0.009901,            0.009901
                  22,            0.043387,           0.0085819,           0.0035861,             0.47957,             0.85022,             0.62709,             0.35038,             0.03636,           0.0051817,           0.0024967,           0.0098961,           0.0098961,           0.0098961
                  23,             0.04129,           0.0082341,           0.0037962,             0.50599,             0.90717,             0.63256,             0.30726,            0.036519,           0.0050013,           0.0025148,           0.0098911,           0.0098911,           0.0098911
                  24,            0.042276,           0.0086694,           0.0035276,             0.44959,             0.83973,             0.57539,             0.35842,            0.032976,           0.0051089,           0.0024383,           0.0098861,           0.0098861,           0.0098861
                  25,            0.041261,           0.0089862,           0.0035417,             0.50017,             0.78721,             0.61898,             0.37584,            0.037321,            0.005277,           0.0024059,           0.0098812,           0.0098812,           0.0098812
                  26,            0.042763,           0.0080914,           0.0039003,             0.47696,             0.79277,             0.59294,              0.2971,            0.040023,           0.0054718,           0.0031803,           0.0098763,           0.0098763,           0.0098763
                  27,            0.038937,           0.0078932,           0.0037196,             0.48408,             0.95707,             0.66533,             0.39736,            0.034229,           0.0052479,           0.0025174,           0.0098713,           0.0098713,           0.0098713
                  28,            0.039511,           0.0083881,           0.0042043,             0.53283,             0.90721,              0.6656,             0.39037,            0.032656,           0.0051379,           0.0020075,           0.0098664,           0.0098664,           0.0098664
                  29,            0.040746,           0.0079354,           0.0042528,             0.51021,             0.97574,             0.66109,             0.40346,            0.029473,           0.0048774,           0.0020421,           0.0098614,           0.0098614,           0.0098614
                  30,            0.039316,           0.0077609,           0.0038575,             0.57777,             0.87614,             0.69501,             0.34761,            0.035667,           0.0049872,           0.0021235,           0.0098565,           0.0098565,           0.0098565
                  31,            0.039813,           0.0080402,           0.0032271,             0.55089,               0.781,             0.65405,             0.34217,            0.037392,           0.0055954,           0.0024662,           0.0098515,           0.0098515,           0.0098515
                  32,            0.038442,            0.008003,           0.0032169,             0.62594,             0.75102,             0.69708,             0.37854,            0.039485,           0.0056148,           0.0024338,           0.0098466,           0.0098466,           0.0098466
                  33,            0.038317,           0.0084583,           0.0030625,              0.4965,             0.89826,             0.67975,             0.35078,            0.033891,           0.0056851,           0.0020578,           0.0098416,           0.0098416,           0.0098416
                  34,            0.036853,           0.0081424,           0.0027891,             0.47601,             0.93644,             0.65659,             0.42099,             0.03043,            0.005029,           0.0017001,           0.0098367,           0.0098367,           0.0098367
                  35,            0.037486,           0.0078554,           0.0027399,             0.51812,             0.95983,             0.63071,             0.39219,            0.034259,           0.0050389,           0.0019863,           0.0098317,           0.0098317,           0.0098317
                  36,            0.038092,           0.0077778,           0.0031029,             0.53288,             0.95113,             0.64719,             0.39761,            0.030703,           0.0046667,           0.0019472,           0.0098268,           0.0098268,           0.0098268
                  37,            0.038066,           0.0080406,           0.0030049,              0.5258,             0.88322,               0.621,              0.3927,            0.031871,           0.0045487,           0.0018567,           0.0098218,           0.0098218,           0.0098218
                  38,            0.037319,            0.007974,           0.0029207,             0.52918,             0.90319,             0.64574,              0.4021,            0.030482,           0.0049625,           0.0026249,           0.0098169,           0.0098169,           0.0098169
                  39,            0.035589,           0.0072175,           0.0038803,             0.52991,              0.9297,             0.67066,             0.43874,            0.029408,           0.0049983,           0.0026627,           0.0098119,           0.0098119,           0.0098119
                  40,            0.038446,           0.0081312,           0.0036866,             0.50351,             0.84348,             0.66265,              0.3934,            0.033638,           0.0052571,           0.0028246,            0.009807,            0.009807,            0.009807
                  41,            0.034996,           0.0080056,           0.0033804,             0.50687,              0.7952,             0.61447,             0.37969,            0.028845,           0.0050711,           0.0018667,            0.009802,            0.009802,            0.009802
                  42,            0.034902,           0.0077807,           0.0027405,             0.52483,             0.84927,             0.65309,             0.39782,            0.031204,           0.0048899,            0.001798,            0.009797,            0.009797,            0.009797
                  43,            0.035521,           0.0086688,           0.0030359,             0.50363,             0.93818,             0.68655,             0.47584,            0.025941,           0.0047375,           0.0020019,           0.0097921,           0.0097921,           0.0097921
                  44,            0.035231,            0.007575,           0.0028755,             0.52323,             0.92921,             0.69463,              0.4458,            0.027266,           0.0046728,           0.0018458,           0.0097871,           0.0097871,           0.0097871
                  45,            0.035012,           0.0075956,           0.0024937,             0.49298,             0.98441,             0.66144,             0.43968,            0.026167,           0.0046143,            0.001713,           0.0097822,           0.0097822,           0.0097822
                  46,            0.035583,           0.0080687,           0.0021985,             0.53746,             0.90574,             0.69393,             0.39603,            0.030165,           0.0045975,           0.0016569,           0.0097773,           0.0097773,           0.0097773
                  47,            0.035136,           0.0076171,           0.0021888,             0.53079,              0.9283,             0.70057,             0.51038,            0.023905,           0.0046062,           0.0016046,           0.0097723,           0.0097723,           0.0097723
                  48,            0.034294,           0.0073922,           0.0027168,             0.51004,              0.9464,             0.68365,             0.43202,            0.027104,           0.0045718,           0.0017302,           0.0097674,           0.0097674,           0.0097674
                  49,            0.033827,           0.0083413,            0.002541,             0.50884,             0.82698,             0.71908,             0.44301,             0.02947,           0.0047602,           0.0017856,           0.0097624,           0.0097624,           0.0097624
                  50,             0.03473,            0.007928,           0.0022173,             0.52918,             0.93727,             0.70677,             0.44782,            0.028179,           0.0046554,           0.0017243,           0.0097575,           0.0097575,           0.0097575
                  51,             0.03221,           0.0077295,           0.0020498,             0.56708,             0.88906,             0.68611,             0.45549,            0.027714,            0.004523,           0.0016933,           0.0097525,           0.0097525,           0.0097525
                  52,            0.033582,           0.0078046,           0.0020563,             0.51057,             0.97933,             0.66651,             0.46629,            0.024401,           0.0045207,           0.0016668,           0.0097476,           0.0097476,           0.0097476
                  53,            0.031539,           0.0081443,           0.0021917,             0.54134,             0.94923,             0.68833,             0.44859,            0.025019,           0.0044851,            0.001876,           0.0097426,           0.0097426,           0.0097426
                  54,            0.034139,           0.0081157,           0.0023752,             0.52438,             0.97538,             0.69302,             0.43719,            0.026556,           0.0045249,           0.0018876,           0.0097377,           0.0097377,           0.0097377
                  55,             0.03143,           0.0069585,           0.0020096,             0.57842,             0.90546,             0.69725,             0.47096,            0.027308,           0.0046056,           0.0016663,           0.0097327,           0.0097327,           0.0097327
                  56,            0.032135,           0.0080153,           0.0019166,             0.56692,             0.92275,             0.68642,             0.45797,            0.024878,           0.0045376,           0.0017532,           0.0097278,           0.0097278,           0.0097278
                  57,            0.032462,           0.0070604,           0.0023704,              0.5692,             0.90696,             0.66879,             0.44897,            0.024647,           0.0044378,           0.0019298,           0.0097228,           0.0097228,           0.0097228
                  58,            0.033214,           0.0078572,           0.0024473,             0.56449,             0.90325,             0.66763,             0.41225,            0.028362,           0.0044981,            0.001825,           0.0097179,           0.0097179,           0.0097179
                  59,            0.032756,           0.0078716,           0.0020954,             0.53278,             0.93826,             0.67946,             0.45559,            0.026206,            0.004504,           0.0016777,           0.0097129,           0.0097129,           0.0097129
                  60,            0.031468,           0.0077166,           0.0031453,             0.54202,             0.91107,             0.67734,             0.43933,            0.026378,           0.0044852,           0.0014864,            0.009708,            0.009708,            0.009708
                  61,            0.030915,           0.0075903,           0.0025527,             0.54151,             0.90387,             0.70125,             0.48441,            0.025602,            0.004534,           0.0014533,            0.009703,            0.009703,            0.009703
                  62,             0.03211,           0.0080602,           0.0024014,             0.52911,             0.87303,             0.68734,             0.46182,            0.026911,           0.0045103,            0.001516,            0.009698,            0.009698,            0.009698
                  63,            0.032094,           0.0080317,           0.0025072,             0.54935,             0.94307,             0.70155,             0.48942,            0.023274,           0.0044593,            0.001559,           0.0096931,           0.0096931,           0.0096931
                  64,            0.031261,           0.0077466,           0.0026607,             0.55799,             0.94902,             0.69399,             0.47761,            0.022351,           0.0045105,           0.0014905,           0.0096881,           0.0096881,           0.0096881
                  65,            0.030081,           0.0076281,            0.001951,             0.51384,             0.97248,             0.68665,             0.46177,            0.025251,           0.0043658,           0.0013534,           0.0096832,           0.0096832,           0.0096832
                  66,             0.03194,           0.0076133,           0.0018378,             0.51074,             0.94828,             0.69357,             0.44805,            0.023682,            0.004486,           0.0014195,           0.0096783,           0.0096783,           0.0096783
                  67,            0.031968,           0.0079635,           0.0019246,             0.54867,             0.92404,             0.68311,             0.47752,            0.022861,           0.0045997,           0.0014564,           0.0096733,           0.0096733,           0.0096733
                  68,             0.03142,            0.007396,           0.0017653,             0.55521,             0.86818,             0.70244,             0.48084,             0.02506,           0.0044764,           0.0014351,           0.0096684,           0.0096684,           0.0096684
                  69,            0.029638,           0.0076159,           0.0024419,             0.55796,             0.88651,             0.70722,             0.49471,            0.024441,           0.0045113,           0.0014941,           0.0096634,           0.0096634,           0.0096634
                  70,            0.030367,           0.0076561,           0.0022469,             0.52339,             0.96354,             0.69348,               0.485,            0.022646,           0.0044917,           0.0015372,           0.0096585,           0.0096585,           0.0096585
                  71,            0.030967,           0.0074759,           0.0018076,             0.53567,             0.97022,             0.69763,              0.4485,            0.024309,           0.0044619,           0.0014674,           0.0096535,           0.0096535,           0.0096535
                  72,            0.029697,           0.0074977,           0.0019824,              0.5514,             0.94307,             0.69997,             0.50022,            0.024366,           0.0044087,           0.0013952,           0.0096486,           0.0096486,           0.0096486
                  73,            0.030309,            0.007634,           0.0016645,             0.56797,             0.89784,             0.70541,             0.49068,            0.023542,           0.0043719,           0.0012656,           0.0096436,           0.0096436,           0.0096436
                  74,             0.02891,           0.0076579,           0.0019592,             0.54748,             0.93292,             0.70116,              0.5093,            0.022479,           0.0044217,           0.0013572,           0.0096387,           0.0096387,           0.0096387
                  75,            0.029984,           0.0075388,            0.001834,             0.54886,             0.91483,             0.72148,              0.5086,            0.022989,           0.0043683,           0.0011859,           0.0096337,           0.0096337,           0.0096337
                  76,            0.030965,           0.0072626,           0.0017562,             0.55301,             0.93883,             0.71546,             0.44676,            0.026011,           0.0044576,           0.0012984,           0.0096288,           0.0096288,           0.0096288
                  77,            0.030642,           0.0071384,           0.0015733,             0.57382,             0.91828,             0.71959,             0.49321,            0.025342,           0.0044234,           0.0015224,           0.0096238,           0.0096238,           0.0096238
                  78,            0.028322,           0.0079037,           0.0018932,             0.55923,             0.92818,             0.71989,             0.52674,            0.021376,           0.0043633,           0.0014677,           0.0096188,           0.0096188,           0.0096188
                  79,            0.029489,           0.0075862,           0.0021435,              0.5442,             0.89231,             0.73381,             0.54342,            0.021588,           0.0044589,           0.0013389,           0.0096139,           0.0096139,           0.0096139
                  80,            0.029413,           0.0078177,           0.0020224,             0.52499,             0.98531,             0.74977,             0.54869,            0.021785,           0.0044165,           0.0013644,            0.009609,            0.009609,            0.009609
                  81,            0.028932,           0.0072798,           0.0020749,             0.58514,             0.89866,             0.72253,             0.54508,            0.021027,           0.0042989,           0.0012305,            0.009604,            0.009604,            0.009604
                  82,            0.029316,           0.0071266,           0.0015921,             0.57759,             0.88587,             0.70843,             0.48401,            0.023889,           0.0042689,           0.0011736,            0.009599,            0.009599,            0.009599
                  83,            0.028506,           0.0071748,           0.0019616,             0.57151,              0.9082,             0.72494,             0.53223,            0.021061,           0.0043318,           0.0012991,           0.0095941,           0.0095941,           0.0095941
                  84,            0.027698,           0.0075272,           0.0016347,             0.56819,             0.88672,             0.71341,             0.48068,            0.023935,           0.0043798,           0.0012545,           0.0095892,           0.0095892,           0.0095892
                  85,            0.028096,           0.0074472,           0.0017153,             0.56863,             0.92143,             0.70764,             0.50349,            0.021532,           0.0044139,           0.0012917,           0.0095842,           0.0095842,           0.0095842
                  86,            0.027832,           0.0069204,           0.0015401,             0.55028,             0.94353,             0.71162,             0.51673,            0.021188,           0.0043853,           0.0014981,           0.0095793,           0.0095793,           0.0095793
                  87,            0.028954,             0.00768,           0.0020727,             0.54991,             0.93901,             0.70672,             0.48522,            0.022673,           0.0043837,           0.0014754,           0.0095743,           0.0095743,           0.0095743
                  88,            0.027667,           0.0076154,           0.0017603,             0.54152,             0.91397,             0.69127,             0.44717,            0.025123,           0.0047628,           0.0013922,           0.0095694,           0.0095694,           0.0095694
                  89,            0.029265,           0.0080261,           0.0014749,             0.53093,              0.9377,              0.6934,             0.47975,            0.022475,           0.0044889,           0.0012721,           0.0095644,           0.0095644,           0.0095644
                  90,            0.029019,           0.0074504,           0.0015817,             0.54761,             0.91654,             0.69862,             0.46798,              0.0235,            0.004464,           0.0011702,           0.0095595,           0.0095595,           0.0095595
                  91,            0.027726,           0.0072975,           0.0015806,             0.55278,             0.92996,             0.68369,             0.46316,            0.023068,           0.0043284,           0.0011767,           0.0095545,           0.0095545,           0.0095545
                  92,            0.028558,           0.0073134,           0.0016908,             0.52873,             0.94473,             0.69878,             0.52078,            0.020524,           0.0043125,           0.0011611,           0.0095496,           0.0095496,           0.0095496
                  93,            0.029249,            0.006705,           0.0015388,             0.53628,             0.93477,              0.7131,             0.52677,            0.023324,           0.0043194,           0.0011562,           0.0095446,           0.0095446,           0.0095446
                  94,            0.028528,           0.0069766,           0.0014234,              0.5508,             0.89538,             0.70062,             0.49612,             0.02314,            0.004425,           0.0012667,           0.0095397,           0.0095397,           0.0095397
                  95,            0.028247,           0.0069522,           0.0015767,             0.57342,             0.81791,             0.71779,             0.48058,            0.023975,           0.0043387,           0.0011812,           0.0095347,           0.0095347,           0.0095347
                  96,            0.028889,           0.0069204,           0.0019625,              0.5565,             0.91044,             0.71443,             0.49199,             0.02226,            0.004299,           0.0012078,           0.0095298,           0.0095298,           0.0095298
                  97,            0.029222,           0.0072107,           0.0018099,             0.57966,             0.90916,             0.71639,             0.51545,            0.022851,           0.0041528,           0.0012289,           0.0095248,           0.0095248,           0.0095248
                  98,            0.028053,           0.0076209,           0.0017633,             0.58472,             0.88846,             0.72947,              0.5421,            0.020864,           0.0041983,           0.0013709,           0.0095198,           0.0095198,           0.0095198
                  99,            0.026309,           0.0077732,           0.0016229,             0.59376,             0.89169,              0.7244,             0.52928,            0.021214,            0.004275,           0.0012121,           0.0095149,           0.0095149,           0.0095149
                 100,            0.025821,           0.0070526,           0.0017122,             0.57615,             0.91262,             0.74317,             0.54313,             0.02111,           0.0043202,           0.0010603,             0.00951,             0.00951,             0.00951
                 101,            0.027709,           0.0073411,            0.002302,             0.58141,             0.88363,             0.72992,             0.54211,            0.021284,           0.0043469,           0.0010105,            0.009505,            0.009505,            0.009505
                 102,            0.028233,           0.0073273,           0.0015487,             0.61352,             0.84429,             0.71843,             0.48653,            0.022302,           0.0043518,           0.0010675,              0.0095,              0.0095,              0.0095
                 103,            0.028521,           0.0071498,           0.0015746,             0.57984,             0.88543,             0.70779,             0.52832,            0.020346,           0.0042744,           0.0011033,           0.0094951,           0.0094951,           0.0094951
                 104,            0.027336,           0.0068259,           0.0019193,             0.55847,             0.92381,             0.69601,             0.50393,            0.020957,           0.0043073,           0.0011164,           0.0094902,           0.0094902,           0.0094902
                 105,            0.027174,           0.0068955,           0.0014342,             0.55007,             0.96124,             0.69324,             0.49842,            0.022947,           0.0041889,           0.0010681,           0.0094852,           0.0094852,           0.0094852
                 106,            0.027515,           0.0068547,           0.0016934,             0.54651,             0.97256,             0.70199,             0.51735,            0.021462,           0.0042756,           0.0010727,           0.0094803,           0.0094803,           0.0094803
                 107,            0.028137,           0.0068219,           0.0018259,             0.56616,             0.95082,              0.7379,             0.52549,            0.021656,           0.0042861,           0.0010955,           0.0094753,           0.0094753,           0.0094753
                 108,            0.026404,            0.006971,           0.0022207,             0.58886,             0.86897,             0.73627,             0.52963,            0.021618,           0.0043538,           0.0010348,           0.0094704,           0.0094704,           0.0094704
                 109,            0.027506,            0.007418,           0.0015864,             0.54841,             0.93943,              0.7218,             0.53038,            0.020618,            0.004432,          0.00097988,           0.0094654,           0.0094654,           0.0094654
                 110,            0.029361,            0.007025,           0.0017768,             0.55552,              0.9431,             0.71172,             0.52547,            0.021264,           0.0043782,          0.00098178,           0.0094605,           0.0094605,           0.0094605
                 111,            0.027571,           0.0073374,           0.0016484,             0.57241,             0.86957,             0.72284,             0.52546,            0.021084,           0.0043039,            0.001014,           0.0094555,           0.0094555,           0.0094555
                 112,            0.027078,           0.0069334,           0.0013029,             0.59031,             0.89926,             0.72522,             0.52058,            0.020935,           0.0043222,           0.0010816,           0.0094506,           0.0094506,           0.0094506
                 113,            0.028382,           0.0072146,           0.0012606,             0.57139,             0.87525,              0.7384,             0.53014,            0.021357,           0.0042336,           0.0010166,           0.0094456,           0.0094456,           0.0094456
                 114,            0.028002,           0.0073388,           0.0014177,              0.5802,              0.9178,             0.75279,              0.5408,            0.021357,           0.0042963,           0.0010645,           0.0094407,           0.0094407,           0.0094407
                 115,            0.026179,           0.0076103,           0.0014544,             0.59253,              0.8929,              0.7377,             0.56181,            0.020318,           0.0042676,           0.0011044,           0.0094357,           0.0094357,           0.0094357
                 116,            0.027525,           0.0074452,           0.0013461,             0.64505,             0.84752,             0.73996,              0.5294,            0.020236,           0.0042554,           0.0010417,           0.0094307,           0.0094307,           0.0094307
                 117,            0.027574,           0.0068922,            0.001229,             0.61768,             0.86876,             0.72304,             0.51477,            0.020585,           0.0042535,           0.0010728,           0.0094258,           0.0094258,           0.0094258
                 118,            0.026216,           0.0069437,           0.0015741,             0.61977,              0.8498,              0.7205,             0.54382,            0.019301,           0.0042815,           0.0010575,           0.0094208,           0.0094208,           0.0094208
                 119,            0.027381,           0.0076184,           0.0017288,             0.59851,             0.87898,             0.72571,             0.52264,            0.020718,           0.0042418,           0.0010375,           0.0094159,           0.0094159,           0.0094159
                 120,            0.024866,           0.0069612,           0.0011398,             0.57163,             0.92314,              0.7352,             0.54368,            0.019589,           0.0041824,          0.00099375,           0.0094109,           0.0094109,           0.0094109
                 121,            0.026259,           0.0071705,           0.0013559,             0.57574,             0.90716,             0.73072,             0.55284,            0.019414,           0.0041959,          0.00097534,            0.009406,            0.009406,            0.009406
                 122,            0.027021,           0.0072737,           0.0011857,             0.57103,               0.945,             0.70541,             0.52949,            0.019435,           0.0041839,          0.00096984,            0.009401,            0.009401,            0.009401
